Resort_Name,google_search_name,Resort_INS_hashtag,twitter_account_name,twitter_screen_name,Continent,Country,State,URL,Altitude,Easy_km,Intermediate_km,Difficult_km,Adult_ticket,Youth_ticket,Child_ticket,Lifts_cables
hanson-hills,hanson-hills skiresort,hansonhills,Hanson Hills,Hansonhills,North America,USA,Michigan,http://www.skiresort.info/ski-resort/hanson-hills/,390,0.8,0.2,0,30,0,0,null
aspen-highlands,aspen-highlands skiresort,aspenhighlands,Aspen Highlands,HighlandBowl,North America,USA,Colorado,http://www.skiresort.info/ski-resort/aspen-highlands/,3559,24.3,40.5,70.2,169,0,112,4
hillberg-ski-area,hillberg-ski-area skiresort,hillbergskiarea,Hillberg Ski Area,HillbergSkiArea,North America,USA,Alaska,http://www.skiresort.info/ski-resort/hillberg-ski-area/,120,0.9,0.3,0,20,0,0,null
hogadon-ski-area,hogadon-ski-area skiresort,hogadonskiarea,Hogadon Basin,hogadonbasin,North America,USA,Wyoming,http://www.skiresort.info/ski-resort/hogadon-ski-area/,2438,1.9,1.6,1.5,42,37,27,null
holiday-valley,holiday-valley skiresort,holidayvalleyskiresort,Holiday Valley,holidayvalley,North America,USA,New York,http://www.skiresort.info/ski-resort/holiday-valley/,685,16,13,19,75,0,59,3.5
holimont,holimont skiresort,holimont,HoliMont,HoliMont,North America,USA,New York,http://www.skiresort.info/ski-resort/holimont/,689,4,6,10,70,0,55,3.2
hoodoo-ski-area,hoodoo-ski-area skiresort,hoodooskiarea,Hoodoo Ski Area,HoodooSki,North America,USA,Oregon,http://www.skiresort.info/ski-resort/hoodoo-ski-area/,1740,6,8,3,54,0,34,3
howelsen-hill-steamboat-springs,howelsen-hill-steamboat-springs skiresort,howelsenhillskiarea,Howelsen Hill ,HowelsenHillSB,North America,USA,Colorado,http://www.skiresort.info/ski-resort/howelsen-hill-steamboat-springs/,2175,1.7,1.5,0.8,25,0,15,2.5
hurricane-ridge,hurricane-ridge skiresort,hurricaneridgeskiingrules,Hurricane Ridge,HRWSC,North America,USA,Washington State,http://www.skiresort.info/ski-resort/hurricane-ridge/,1676,2,2,1,34,0,0,null
huff-hills,huff-hills skiresort,huffhills,Huff Hills Ski Area,HuffHills,North America,USA,North Dakota,http://www.skiresort.info/ski-resort/huff-hills/,680,1.8,0.8,0.4,30,0,25,null
huntington,huntington skiresort,huntingtonskiclub,Huntington Lake Resort,HungtingtonLake2,North America,USA,New York,http://www.skiresort.info/ski-resort/huntington/,0,0,0,0,0,0,0,null
hunt-hollow-ski-club,hunt-hollow-ski-club skiresort,hunthollowskiclub,Hunt Hollow Ski Club,hunthollow,North America,USA,New York,http://www.skiresort.info/ski-resort/hunt-hollow-ski-club/,360,2,2,1,55,0,45,2.9
hidden-valley-pa,hidden-valley-pa skiresort,hiddenvalleypa,Hidden Valley Resort,HVResortPA,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/hidden-valley-pa/,890,4,3,2,69,0,58,null
jay-peak,jay-peak skiresort,jaypeakresort,Jay Peak Resort,jaypeakresort,North America,USA,Vermont,http://www.skiresort.info/ski-resort/jay-peak/,1175,15,31,30,82,0,64,3.2
jackson-hole,jackson-hole skiresort,skijacksonhole,Jackson Hole,jhski,North America,USA,Wyoming,http://www.skiresort.info/ski-resort/jackson-hole/,3185,16,50,50,149,0,91,3.6
jiminy-peak,jiminy-peak skiresort,jiminypeakresort,Jiminy Peak,jiminypeak,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/jiminy-peak/,725,4.1,2,3,81,70,61,null
june-mountain,june-mountain skiresort,junemountain,June Mountain,JuneMountain,North America,USA,California,http://www.skiresort.info/ski-resort/june-mountain/,3075,2.1,12.9,20.7,109,89,0,3.6
kelly-canyon,kelly-canyon skiresort,kellycanyon,Kelly Canyon,kellycanyon,North America,USA,Idaho,http://www.skiresort.info/ski-resort/kelly-canyon/,2030,4,5,3,40,0,32,3
kendall-mountain-silverton,kendall-mountain-silverton skiresort,kendallmountain,KendallMountain,KendallMountain,North America,USA,Colorado,http://www.skiresort.info/ski-resort/kendall-mountain-silverton/,3000,1,0.5,0.2,20,0,15,3
keystone,keystone skiresort,keystoneski,Keystone Resort,KeystoneMtn,North America,USA,Colorado,http://www.skiresort.info/ski-resort/keystone/,3651,25,65,45,159,0,92,4
killington,killington skiresort,killington,Killington Resort,KillingtonMtn,North America,USA,Vermont,http://www.skiresort.info/ski-resort/killington/,1285,37.4,43,46,115,0,89,3.7
king-pine-purity-spring-resort,king-pine-purity-spring-resort skiresort,kingpine,King Pine Ski Area,KingPineSkiArea,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/king-pine-purity-spring-resort/,240,2.8,1.5,1,55,0,38,2.9
kissing-bridge,kissing-bridge skiresort,kissingbridgeskiresort,Kissing Bridge,KissingBridge,North America,USA,New York,http://www.skiresort.info/ski-resort/kissing-bridge/,520,4.5,4.8,8.5,60,0,50,3
labrador-mountain,labrador-mountain skiresort,labradormountainski,Labrador Mountain,LabradorMtn,North America,USA,New York,http://www.skiresort.info/ski-resort/labrador-mountain/,570,6,6,5,53,0,43,2.9
laurel-mountain,laurel-mountain skiresort,laurelmountainskiresort,Laurel Mountain Ski,LaurelMTSki,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/laurel-mountain/,837,4,3,1,53,0,43,2.9
loon-mountain,loon-mountain skiresort,loonmountain,Loon Mountain,loonmtn,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/loon-mountain/,930,13,26,6,95,83,71,3.8
lost-valley,lost-valley skiresort,lostvalleyskiarea,Lost Valley Ski Area,lost_valley_ski,North America,USA,Maine,http://www.skiresort.info/ski-resort/lost-valley/,166,1,0.5,0.5,45,0,40,3
lost-trail-powder-mountain,lost-trail-powder-mountain skiresort,losttrailpowdermountain,Lost Trail Powder Mt,LostTrail,North America,USA,Montana,http://www.skiresort.info/ski-resort/lost-trail-powder-mountain/,2550,15,25,10,42,0,32,3
