Resort Name,Continent,Country,State/Province,URL,Altitude,Easy(km),Intermediate(km) ,Difficult(km),Adult(ticket),Youth(ticket),Child(ticket),Lifts and cable cars 
dartmouth-skiway,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/dartmouth-skiway/,592,4,8,4,48,38,33,
deer-mountain,North America,USA,South Dakota,http://www.skiresort.info/ski-resort/deer-mountain/,2028,10,7,5,45,0,36,2.9
deer-valley,North America,USA,Utah,http://www.skiresort.info/ski-resort/deer-valley/,2917,27,41,32,135,135,84,4
denton-hill-state-park,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/denton-hill-state-park/,750,4,2,2,0,0,0,
detroit-mountain,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/detroit-mountain/,490,1,1,0,40,0,32,3
devils-head,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/devils-head/,303,3,3.5,3.5,55,0,48,
diamond-peak,North America,USA,Western United States,http://www.skiresort.info/ski-resort/diamond-peak/,2602,6,14,10,79,64,39,3.4
diamond-peaks,North America,USA,Utah,http://www.skiresort.info/ski-resort/diamond-peaks/,0,,,,0,0,0,
discovery-ski-area,North America,USA,Montana,http://www.skiresort.info/ski-resort/discovery-ski-area/,2484,12,12,21,46,0,24,3
dodge-ridge,North America,USA,California,http://www.skiresort.info/ski-resort/dodge-ridge/,2499,10,20,20,72,59,24,
dollar-mountain-sun-valley,North America,USA,Idaho,http://www.skiresort.info/ski-resort/dollar-mountain-sun-valley/,2023,7,2,0,120,0,58,3.7
donner-ski-area,North America,USA,Western United States,http://www.skiresort.info/ski-resort/donner-ski-area/,2240,6,8,0,59,47,25,3
donner-ski-ranch,North America,USA,Western United States,http://www.skiresort.info/ski-resort/donner-ski-ranch/,2371,13,26,13,69,59,29,3
dry-hill,North America,USA,New York,http://www.skiresort.info/ski-resort/dry-hill/,293,0.7,1.2,0.5,40,0,35,
dynamite-hill-chestertown,North America,USA,New York,http://www.skiresort.info/ski-resort/dynamite-hill-chestertown/,281,0.2,0,0,0,0,0,1
eagle-island-park,North America,USA,Idaho,http://www.skiresort.info/ski-resort/eagle-island-park/,781,0.1,0,0,20,0,20,1
eagle-point,North America,USA,Utah,http://www.skiresort.info/ski-resort/eagle-point/,3230,6,9,5,65,0,50,3
eagle-rock,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/eagle-rock/,550,,,,42,0,28,
eaglecrest-juneau,North America,USA,Alaska,http://www.skiresort.info/ski-resort/eaglecrest-juneau/,820,3.4,6.8,6.8,52,42,28,3
eaton-mountain,North America,USA,Maine,http://www.skiresort.info/ski-resort/eaton-mountain/,140,1.5,0.5,0,15,0,0,
echo-mountain-park-idaho-springs,North America,USA,Colorado,http://www.skiresort.info/ski-resort/echo-mountain-park-idaho-springs/,3401,2,1,0,49,0,39,2.9
echo-valley-lake-chelan,North America,USA,Washington State,http://www.skiresort.info/ski-resort/echo-valley-lake-chelan/,950,1,0.4,0.1,25,0,0,
eldora-mountain,North America,USA,Colorado,http://www.skiresort.info/ski-resort/eldora-mountain/,3292,11,26,15,94,0,54,3.2
elk-mountain,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/elk-mountain/,820,3,8,4,66,0,50,
elk-ridge-williams,North America,USA,Arizona,http://www.skiresort.info/ski-resort/elk-ridge-williams/,2452,0.6,1.5,0.9,40,0,25,
elko-snobowl,North America,USA,Nevada,http://www.skiresort.info/ski-resort/elko-snobowl/,2130,1.5,1.5,0,20,0,15,2.9
fairmont-hot-springs-fairmont,North America,USA,Montana,http://www.skiresort.info/ski-resort/fairmont-hot-springs-fairmont/,0,,,,0,0,0,
ferguson-ridge,North America,USA,Oregon,http://www.skiresort.info/ski-resort/ferguson-ridge/,1780,2,2,1,20,0,10,
fort-wainwrightbirch-hill-fairbanks,North America,USA,Alaska,http://www.skiresort.info/ski-resort/fort-wainwrightbirch-hill-fairbanks/,300,1.5,0.3,0,0,0,0,
four-lakes,North America,USA,Illinois,http://www.skiresort.info/ski-resort/four-lakes/,220,1,0,0,28,0,0,
four-seasons,North America,USA,New York,http://www.skiresort.info/ski-resort/four-seasons/,185,0.4,0.1,0,24,0,18,
fox-hill,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/fox-hill/,385,0.5,0.3,0.2,0,0,0,
frost-fire-mountain,North America,USA,North Dakota,http://www.skiresort.info/ski-resort/frost-fire-mountain/,440,0.7,0.6,0.2,40,0,30,
giants-ridge,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/giants-ridge/,560,4,5,3,54,0,38,3.3
gladstone-sports-park,North America,USA,Michigan,http://www.skiresort.info/ski-resort/gladstone-sports-park/,220,0.4,0.1,0,12,0,5,
gore-mountain,North America,USA,New York,http://www.skiresort.info/ski-resort/gore-mountain/,1097,6.7,28.2,23.3,83,65,46,3.6
granby-ranch,North America,USA,Colorado,http://www.skiresort.info/ski-resort/granby-ranch/,2804,6,10,4,74,0,44,3.5
grand-geneva,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/grand-geneva/,304,1.2,0.4,0.2,53,0,41,
grand-targhee,North America,USA,Wyoming,http://www.skiresort.info/ski-resort/grand-targhee/,3048,5,15,15,90,0,42,3.8
granite-gorge,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/granite-gorge/,404,3,2,1,49,0,42,2.9
granite-peak-at-rib-mountain-state-park,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/granite-peak-at-rib-mountain-state-park/,594,10,5,5,80,0,60,3.4
granlibakken,North America,USA,Western United States,http://www.skiresort.info/ski-resort/granlibakken/,2015,1,1,0,35,0,25,1.4
great-bear-ski-area,North America,USA,South Dakota,http://www.skiresort.info/ski-resort/great-bear-ski-area/,470,1.5,2,1,26,0,0,
great-divide,North America,USA,Montana,http://www.skiresort.info/ski-resort/great-divide/,2210,10,20,20,40,30,20,3
greek-peak,North America,USA,New York,http://www.skiresort.info/ski-resort/greek-peak/,640,9,4,6,68,0,55,
gunstock,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/gunstock/,690,5,25,10,86,74,62,
h2o-guides,North America,USA,Alaska,http://www.skiresort.info/ski-resort/h2o-guides/,0,,,,0,0,0,
hanson-hills,North America,USA,Michigan,http://www.skiresort.info/ski-resort/hanson-hills/,390,0.8,0.2,0,30,0,0,
haystack-mountain-the-hermitage-club,North America,USA,Vermont,http://www.skiresort.info/ski-resort/haystack-mountain-the-hermitage-club/,975,5.6,9.5,4.2,0,0,0,3.7
heavenly,North America,USA,Western United States,http://www.skiresort.info/ski-resort/heavenly/,3060,18,42,34,152,125,90,4
heiliger-huegel-hubertus,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/heiliger-huegel-hubertus/,391,0.6,0.4,0.2,25,0,0,2.7
hermon-mountain,North America,USA,Maine,http://www.skiresort.info/ski-resort/hermon-mountain/,140,2,0.5,0.5,27,0,22,2.3
hesperus-ski-area,North America,USA,Colorado,http://www.skiresort.info/ski-resort/hesperus-ski-area/,2706,3,5,2,39,33,28,2.8
hickory-ski-center,North America,USA,New York,http://www.skiresort.info/ski-resort/hickory-ski-center/,583,3,3,2,45,0,30,
hidden-valley-mo,North America,USA,Missouri,http://www.skiresort.info/ski-resort/hidden-valley-mo/,240,1,2,1,48,0,30,2.9
hidden-valley-pa,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/hidden-valley-pa/,890,4,3,2,69,0,58,
hillberg-ski-area,North America,USA,Alaska,http://www.skiresort.info/ski-resort/hillberg-ski-area/,120,0.9,0.3,0,20,0,0,
hilltop-anchorage,North America,USA,Alaska,http://www.skiresort.info/ski-resort/hilltop-anchorage/,140,4,1,0,32,30,20,2.8
hogadon-ski-area,North America,USA,Wyoming,http://www.skiresort.info/ski-resort/hogadon-ski-area/,2438,1.9,1.6,1.5,42,37,27,
holiday-mountain-ny,North America,USA,New York,http://www.skiresort.info/ski-resort/holiday-mountain-ny/,440,1,2,1,42,0,0,
holiday-valley,North America,USA,New York,http://www.skiresort.info/ski-resort/holiday-valley/,685,16,13,19,75,0,59,3.5
holimont,North America,USA,New York,http://www.skiresort.info/ski-resort/holimont/,689,4,6,10,70,0,55,3.2
homewood-mountain-resort,North America,USA,Western United States,http://www.skiresort.info/ski-resort/homewood-mountain-resort/,2402,6,13,1,0,0,0,3.3
hoodoo-ski-area,North America,USA,Oregon,http://www.skiresort.info/ski-resort/hoodoo-ski-area/,1740,6,8,3,54,0,34,3
howelsen-hill-steamboat-springs,North America,USA,Colorado,http://www.skiresort.info/ski-resort/howelsen-hill-steamboat-springs/,2175,1.7,1.5,0.8,25,0,15,2.5
huff-hills,North America,USA,North Dakota,http://www.skiresort.info/ski-resort/huff-hills/,680,1.8,0.8,0.4,30,0,25,
hunt-hollow-ski-club,North America,USA,New York,http://www.skiresort.info/ski-resort/hunt-hollow-ski-club/,360,2,2,1,55,0,45,2.9
hunter-mountain,North America,USA,New York,http://www.skiresort.info/ski-resort/hunter-mountain/,975,18,18,19,80,0,64,3.4
huntington,North America,USA,New York,http://www.skiresort.info/ski-resort/huntington/,0,,,,0,0,0,
hurricane-ridge,North America,USA,Washington State,http://www.skiresort.info/ski-resort/hurricane-ridge/,1676,2,2,1,34,0,0,
hyland-ski-snowboard-area,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/hyland-ski-snowboard-area/,310,0.6,0.4,0.2,34.49,0,30.76,3
